Article#,Article Status,Stock Available,MOP,NLC,PED,m,c,Price,Units,Discount,Discount_Per,Discount_Per_Unit,GP_per_unit,GP,GMV,GP_PER
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,30441.0,548,6540.0,17.68,11.93,-0.27000000000043656,-147.96000000023923,16681668.0,-0.0
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,30541.0,539,6440.0,17.41,11.95,99.72999999999956,53754.46999999977,16461599.0,0.33
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,30641.0,529,6340.0,17.14,11.98,199.72999999999956,105657.16999999977,16209089.0,0.65
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,30741.0,519,6240.0,16.87,12.02,299.72999999999956,155559.86999999976,15954579.0,0.98
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,30841.0,510,6140.0,16.6,12.04,399.72999999999956,203862.29999999978,15728910.0,1.3
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,30941.0,500,6040.0,16.33,12.08,499.72999999999956,249864.99999999977,15470500.0,1.62
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31041.0,490,5940.0,16.06,12.12,599.7299999999996,293867.6999999998,15210090.0,1.93
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31141.0,480,5840.0,15.79,12.17,699.7299999999996,335870.3999999998,14947680.0,2.25
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31241.0,471,5740.0,15.52,12.19,799.7299999999996,376672.8299999998,14714511.0,2.56
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31341.0,461,5640.0,15.25,12.23,899.7299999999996,414775.5299999998,14448201.0,2.87
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31441.0,451,5540.0,14.98,12.28,999.7299999999996,450878.2299999998,14179891.0,3.18
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31541.0,441,5440.0,14.71,12.34,1099.7299999999996,484980.9299999998,13909581.0,3.49
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31641.0,432,5340.0,14.44,12.36,1199.7299999999996,518283.3599999998,13668912.0,3.79
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31741.0,422,5240.0,14.17,12.42,1299.7299999999996,548486.0599999998,13394702.0,4.09
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31841.0,412,5140.0,13.9,12.48,1399.7299999999996,576688.7599999998,13118492.0,4.4
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31941.0,403,5040.0,13.63,12.51,1499.7299999999996,604391.1899999998,12872223.0,4.7
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,32041.0,393,4940.0,13.36,12.57,1599.7299999999996,628693.8899999998,12592113.0,4.99
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,32141.0,383,4840.0,13.09,12.64,1699.7299999999996,650996.5899999999,12310003.0,5.29
